arm,run,model,image_path,label,detector_score,detector_p,vlm_verdict,vlm_conf,vlm_reasoning,final_decision,abstained,tokens_in,tokens_out,had_crop
A,0,claude-haiku-4-5,/kaggle/working/aiqs-agent/datasets/visa/visa_pytorch/capsules/test/bad/000.JPG,1,0.5493737459182739,0.42105263157894735,clean,0.92,"These are pharmaceutical capsules (likely soft gels) with expected manufacturing characteristics: uniform green coloring, natural specular highlights from the glossy gelatin surface, and consistent metallic gold/bronze end caps. The bright reflections are optical artifacts from the capsule's curved, reflective surface under directional lighting, not surface defects. All capsules show normal morphology and finish consistent with standard production.",pass,False,809,111,False
A,0,claude-haiku-4-5,/kaggle/working/aiqs-agent/datasets/visa/visa_pytorch/capsules/test/bad/001.JPG,1,0.6878484487533569,0.6393442622950819,clean,0.92,"These are translucent green capsules with intentional metallic gold/brass coating on the ends, which is a standard manufacturing feature. The specular highlights and color gradations visible are consistent with the reflective properties of the coated surface and lighting conditions, not manufacturing defects. All capsules show uniform shape, consistent coloring, and expected surface characteristics for this product type.",pass,False,809,105,False
A,0,claude-haiku-4-5,/kaggle/working/aiqs-agent/datasets/visa/visa_pytorch/capsules/test/bad/002.JPG,1,0.6373302936553955,0.5289672544080605,clean,0.92,"These are gel capsules with expected manufacturing characteristics: bright specular highlights from the glossy gelatin surface, natural color variation from the dye distribution, and consistent oval shape across the batch. The highlights and color gradients are consistent with proper capsule geometry and lighting, not defects. No cracks, delamination, or structural anomalies are visible.",pass,False,809,102,False
A,0,claude-haiku-4-5,/kaggle/working/aiqs-agent/datasets/visa/visa_pytorch/capsules/test/bad/003.JPG,1,0.6290700435638428,0.48979591836734687,clean,0.92,"These are pharmaceutical capsules with expected specular highlights from their glossy gelatin surface and the overhead lighting. The bright reflections on the capsule ends are characteristic of the manufacturing process and material properties, not defects. All capsules show consistent color saturation, shape, and surface integrity typical of acceptable pharmaceutical products.",pass,False,809,92,False
A,0,claude-haiku-4-5,/kaggle/working/aiqs-agent/datasets/visa/visa_pytorch/capsules/test/bad/004.JPG,1,0.5467589497566223,0.41440377804014167,clean,0.92,"These are translucent green gel capsules with expected specular highlights and reflections from their glossy surface. The bright white/pale streaks visible on many capsules are characteristic light reflections on curved, polished surfaces—a normal optical artifact. No evidence of cracks, discoloration, material defects, or surface damage is visible; all capsules appear uniformly formed and intact.",pass,False,809,109,False
A,0,claude-haiku-4-5,/kaggle/working/aiqs-agent/datasets/visa/visa_pytorch/capsules/test/bad/005.JPG,1,0.6432687640190125,0.5121951219512195,clean,0.92,"These are gel capsules with expected manufacturing characteristics: bright specular highlights from the glossy gelatin surface, uniform green coloration, and consistent oval shape across all units. The bright spots are reflections from overhead lighting on the curved, polished surface—a normal optical artifact on translucent capsules, not surface defects. No cracks, discoloration, deformation, or material flaws are visible.",pass,False,809,113,False
A,0,claude-haiku-4-5,/kaggle/working/aiqs-agent/datasets/visa/visa_pytorch/capsules/test/bad/006.JPG,1,0.554257333278656,0.4224519940915806,clean,0.92,"These are translucent green capsules with intentional metallic/reflective coatings on their surfaces, which is a standard manufacturing feature. The bright highlights and color variations are consistent with specular reflections from the glossy coating and lighting angles, not surface defects. All capsules show uniform shape, consistent coloration, and expected optical properties for this product type.",pass,False,809,104,False
A,0,claude-haiku-4-5,/kaggle/working/aiqs-agent/datasets/visa/visa_pytorch/capsules/test/bad/007.JPG,1,0.5529176592826843,0.42105263157894735,clean,0.92,"These are translucent gel capsules with expected internal air pockets and natural color gradients from green to gold/amber. The bright specular highlights and color variations are consistent with the material's optical properties and lighting geometry, not manufacturing defects. All capsules show normal, uniform shape and surface integrity typical of pharmaceutical capsule production.",pass,False,809,96,False
A,0,claude-haiku-4-5,/kaggle/working/aiqs-agent/datasets/visa/visa_pytorch/capsules/test/bad/008.JPG,1,0.5924664735794067,0.4385964912280702,clean,0.92,"These are pharmaceutical capsules with expected bright specular highlights from the glossy gelatin surface and natural color variation in the green dye. The highlights and slight color gradations are consistent with normal manufacturing and lighting artifacts, not material defects. No cracks, delamination, or structural damage is visible.",pass,False,809,90,False
A,0,claude-haiku-4-5,/kaggle/working/aiqs-agent/datasets/visa/visa_pytorch/capsules/test/bad/010.JPG,1,0.6687542200088501,0.5238095238095238,clean,0.92,"These are gel capsules with expected manufacturing characteristics: bright specular highlights from the glossy gelatin surface, natural color variation from the green dye, and normal light reflections. The variation in appearance across capsules is consistent with lighting angle and capsule orientation, not defects. No cracks, discoloration, deformation, or material flaws are visible.",pass,False,809,103,False
