arm,run,model,provider,image_path,label,detector_score,detector_p,vlm_verdict,vlm_conf,p_vlm,vlm_reasoning,final_decision,abstained,tokens_in,tokens_out,had_crop
A,0,claude-sonnet-4-6,anthropic,/kaggle/working/aiqs-agent/datasets/visa/visa_pytorch/capsules/test/bad/000.JPG,1,0.5493737459182739,0.42105263157894735,clean,0.82,0.09000000000000002,"The capsules show consistent green gelatin shells with expected specular highlights running along their curved surfaces — the bright elongated reflections are typical light artifacts on glossy softgel capsules, not surface damage. No visible deformations, leaks, discoloration patches, or shell irregularities are apparent across the batch.",pass,False,810,90,False
A,0,claude-sonnet-4-6,anthropic,/kaggle/working/aiqs-agent/datasets/visa/visa_pytorch/capsules/test/bad/001.JPG,1,0.6878484487533569,0.6393442622950819,unsure,0.45,0.5,"One capsule in the lower-left area appears to have a small bubble or inclusion visible through the translucent shell, which could be a real encapsulation defect. However, the specular highlights and the translucent green gelatin create complex optical effects that make it difficult to distinguish a genuine air bubble or fill anomaly from a lighting artifact.",escalate,True,810,96,False
A,0,claude-sonnet-4-6,anthropic,/kaggle/working/aiqs-agent/datasets/visa/visa_pytorch/capsules/test/bad/002.JPG,1,0.6373302936553955,0.5289672544080605,defect,0.75,0.875,"One capsule in the middle-left area shows a small bubble or indentation on its surface that is distinct from the specular highlights seen on all other capsules. This appears to be a real surface deformity (air bubble trapped under the gelatin shell) rather than a lighting artifact, as it lacks the elongated highlight pattern consistent with reflections and appears as a localized circular anomaly.",fail,False,810,105,False
A,0,claude-sonnet-4-6,anthropic,/kaggle/working/aiqs-agent/datasets/visa/visa_pytorch/capsules/test/bad/003.JPG,1,0.6290700435638428,0.48979591836734687,unsure,0.45,0.5,"Most capsules show consistent green color with normal specular highlights, but one capsule near the center-left appears notably darker/more opaque (brownish-green) compared to its neighbors, which could indicate a fill content anomaly or shell discoloration. However, this could also be a lighting/orientation artifact given the translucent nature of the gelatin shells.",escalate,True,810,100,False
A,0,claude-sonnet-4-6,anthropic,/kaggle/working/aiqs-agent/datasets/visa/visa_pytorch/capsules/test/bad/004.JPG,1,0.5467589497566223,0.41440377804014167,clean,0.82,0.09000000000000002,"The capsules show consistent green gelatin shells with normal specular highlights and the characteristic dark center caused by light transmission through the translucent shell and oil fill — this is expected optical behavior for softgel capsules. No cracks, dents, leaks, deformations, or surface irregularities are visible; the flagged appearance is attributable to lighting artifacts and the inherent translucency of the gelatin material.",pass,False,810,112,False
A,0,claude-sonnet-4-6,anthropic,/kaggle/working/aiqs-agent/datasets/visa/visa_pytorch/capsules/test/bad/005.JPG,1,0.6432687640190125,0.5121951219512195,clean,0.82,0.09000000000000002,"The dark regions visible on the capsules are consistent with specular highlights and the translucent green gel material showing the darker interior fill through the shell — a normal optical characteristic of softgel capsules. All capsules appear uniformly shaped with smooth, intact surfaces and no visible cracks, leaks, deformations, or discoloration anomalies that would indicate a manufacturing defect.",pass,False,810,104,False
A,0,claude-sonnet-4-6,anthropic,/kaggle/working/aiqs-agent/datasets/visa/visa_pytorch/capsules/test/bad/006.JPG,1,0.554257333278656,0.4224519940915806,unsure,0.45,0.5,"One capsule near the center appears to have a visible air bubble or inclusion within the gel shell, which could indicate a real fill/sealing defect. However, the bright specular highlights on these translucent green softgel capsules make it difficult to distinguish a genuine internal void from a reflection artifact, and the overall batch otherwise appears uniform in shape and color.",escalate,True,810,99,False
A,0,claude-sonnet-4-6,anthropic,/kaggle/working/aiqs-agent/datasets/visa/visa_pytorch/capsules/test/bad/007.JPG,1,0.5529176592826843,0.42105263157894735,defect,0.72,0.86,"One capsule near the upper-center of the image appears to have a visible bubble or void inclusion on its surface, which is distinct from the specular highlights seen on the other capsules. This localized anomaly is consistent with a fill or shell defect rather than a lighting artifact, as the other capsules show uniform highlight patterns without similar features.",fail,False,810,95,False
A,0,claude-sonnet-4-6,anthropic,/kaggle/working/aiqs-agent/datasets/visa/visa_pytorch/capsules/test/bad/008.JPG,1,0.5924664735794067,0.4385964912280702,clean,0.82,0.09000000000000002,"The bright elongated highlights visible on the capsules are consistent with specular reflections from the glossy gelatin surface under directional lighting, not surface defects. All capsules appear uniformly shaped with intact seals and consistent green coloration; no cracks, deformations, or fill anomalies are evident.",pass,False,810,89,False
A,0,claude-sonnet-4-6,anthropic,/kaggle/working/aiqs-agent/datasets/visa/visa_pytorch/capsules/test/bad/010.JPG,1,0.6687542200088501,0.5238095238095238,clean,0.82,0.09000000000000002,"The green softgel capsules show consistent shape, uniform green coloration, and normal specular highlights along their curved surfaces. The dark central stripe visible on each capsule is a typical optical effect from the transparent shell and internal fill, not a defect; no deformations, leaks, discoloration patches, or surface damage are evident.",pass,False,810,94,False
A,0,claude-sonnet-4-6,anthropic,/kaggle/working/aiqs-agent/datasets/visa/visa_pytorch/capsules/test/bad/012.JPG,1,0.5046688914299011,0.4363636363636363,clean,0.82,0.09000000000000002,"The capsules show consistent specular highlights and the characteristic dark-center/bright-edge appearance typical of translucent gel capsules under overhead lighting. The variation in brightness and color tone across capsules is attributable to their orientation relative to the light source, not surface defects. No cracks, dents, leaks, or shape anomalies are visible.",pass,False,810,98,False
A,0,claude-sonnet-4-6,anthropic,/kaggle/working/aiqs-agent/datasets/visa/visa_pytorch/capsules/test/bad/013.JPG,1,0.5,0.3164556962025316,clean,0.82,0.09000000000000002,"The green softgel capsules show consistent shape, uniform translucent green color, and smooth surfaces across all units. The darker regions visible on each capsule are specular highlights and shadows from the lighting setup reflecting off the curved gelatin surface, which is a normal optical artifact for this type of product; no deformations, leaks, discoloration patches, or seam defects are apparent.",pass,False,810,106,False
A,0,claude-sonnet-4-6,anthropic,/kaggle/working/aiqs-agent/datasets/visa/visa_pytorch/capsules/test/bad/014.JPG,1,0.6872185468673706,0.6377816291161179,unsure,0.45,0.5,"One capsule in the middle-left area appears to have a small bubble or void visible through its transparent shell, which could indicate a fill defect or air inclusion. However, the bright specular highlights and the translucent green gelatin make it difficult to distinguish a genuine internal bubble from a lighting/reflection artifact.",escalate,True,810,88,False
A,0,claude-sonnet-4-6,anthropic,/kaggle/working/aiqs-agent/datasets/visa/visa_pytorch/capsules/test/bad/015.JPG,1,0.595771849155426,0.46153846153846156,defect,0.82,0.9099999999999999,"One capsule in the left-middle row shows a visible air bubble or inclusion trapped within the gelatin shell, appearing as a small circular void — this is a real manufacturing defect (entrapped air during encapsulation). Additionally, several capsules show asymmetric or irregular shapes (one appears notably more elongated/tapered than the others), suggesting forming inconsistencies beyond normal specular highlight variation.",fail,False,810,107,False
